,date,precipitation
0,2019-10-1,36.3
1,2019-10-2,136.2
2,2019-10-3,0.2
3,2019-10-4,0.0
4,2019-10-5,0.0
5,2019-10-6,1.0
6,2019-10-7,0.0
7,2019-10-8,0.0
8,2019-10-9,0.0
9,2019-10-10,0.0
10,2019-10-11,0.0
11,2019-10-12,0.0
12,2019-10-13,0.0
13,2019-10-14,0.0
14,2019-10-15,3.2
15,2019-10-16,0.0
16,2019-10-17,0.0
17,2019-10-18,8.3
18,2019-10-19,0.0
19,2019-10-20,0.0
20,2019-10-21,0.0
21,2019-10-22,0.5
22,2019-10-23,0.6
23,2019-10-24,2.3
24,2019-10-25,0.0
25,2019-10-26,0.0
26,2019-10-27,0.0
27,2019-10-28,0.0
28,2019-10-29,0.0
29,2019-10-30,0.0
30,2019-10-31,0.0
31,2019-11-1,0.0
32,2019-11-2,0.0
33,2019-11-3,0.0
34,2019-11-4,0.0
35,2019-11-5,0.0
36,2019-11-6,0.0
37,2019-11-7,0.0
38,2019-11-8,0.0
39,2019-11-9,0.0
40,2019-11-10,2.9
41,2019-11-11,0.0
42,2019-11-12,0.0
43,2019-11-13,1.7
44,2019-11-14,0.0
45,2019-11-15,0.0
46,2019-11-16,0.0
47,2019-11-17,0.0
48,2019-11-18,6.1
49,2019-11-19,0.0
50,2019-11-20,0.0
51,2019-11-21,0.0
52,2019-11-22,0.0
53,2019-11-23,0.0
54,2019-11-24,4.7
55,2019-11-25,0.0
56,2019-11-26,8.2
57,2019-11-27,3.8
58,2019-11-28,0.0
59,2019-11-29,0.0
60,2019-11-30,0.1
